"","date","colony","pfa","pfa.percent","pfa.dilution.date","active","active.percent","mite.1","mite.24","mite.48","mite.72","bee.1","bee.24","bee.48","bee.72","date.washed","initials","total.bees.g","total.bees.count","mites.washed","mites.per.100.bees","prop.mites.1","prop.mites.24","prop.mites.48","prop.mites.72","rank.48","PFA","AI","notes","flag"
"1",2022-08-11,197,"untreated",0,NA,"fenpyroximate",0,NA,3,2,6,NA,0,0,0,NA,NA,NA,270,10,5.92592592592593,NA,0.1875,0.125,0.375,6,"untreated","fenpyroximate",NA,NA
"2",2022-08-11,197,"1alone fenpyroximate",0,NA,"fenpyroximate",0.1,NA,1,3,4,NA,0,0,0,NA,NA,NA,280,11,5.35714285714286,NA,0.0666666666666667,0.2,0.266666666666667,5,"1alone fenpyroximate","fenpyroximate",NA,NA
"3",2022-08-11,197,"b pin",3,NA,"fenpyroximate",0.1,NA,1,7,6,NA,0,1,0,NA,NA,NA,299,14,6.68896321070234,NA,0.05,0.35,0.3,4,"b pin","fenpyroximate",NA,NA
"4",2022-08-11,197,"meth palm ol",3,NA,"fenpyroximate",0.1,NA,9,9,9,NA,4,4,4,NA,NA,NA,277,4,4.69314079422383,NA,0.692307692307692,0.692307692307692,0.692307692307692,2,"meth palm ol","fenpyroximate",NA,NA
"5",2022-08-11,197,"s eco",3,NA,"fenpyroximate",0.1,NA,13,10,11,NA,21,24,32,NA,NA,NA,294,1,4.08163265306122,NA,1.08333333333333,0.833333333333333,0.916666666666667,1,"s eco","fenpyroximate",NA,NA
"6",2022-08-11,197,"tall amine ethox",3,NA,"fenpyroximate",0.1,NA,9,9,10,NA,5,NA,7,NA,NA,NA,276,4,5.07246376811594,NA,0.642857142857143,0.642857142857143,0.714285714285714,3,"tall amine ethox","fenpyroximate","no bee 48 h mortality recorded",NA
"7",2022-08-12,81,"untreated",0,NA,"fenpyroximate",0,NA,7,12,15,NA,0,10,269.6,NA,NA,21,337,28,12.7596439169139,NA,0.162790697674419,0.27906976744186,0.348837209302326,9,"untreated","fenpyroximate",NA,NA
"8",2022-08-12,81,"1alone fenpyroximate",0,NA,"fenpyroximate",0.1,NA,4,31,26,NA,2,12,167.2,NA,NA,19,209,15,19.6172248803828,NA,0.0975609756097561,0.75609756097561,0.634146341463415,2,"1alone fenpyroximate","fenpyroximate",NA,NA
"9",2022-08-12,81,"b pin",3,NA,"fenpyroximate",0.1,NA,2,5,0,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b pin","fenpyroximate","leaking bees, ended at 48 h.",NA
"10",2022-08-12,81,"s 408",3,NA,"fenpyroximate",0.1,NA,34,38,46,NA,164.8,14.85,185.4,NA,NA,16.5,206,8,26.2135922330097,NA,0.62962962962963,0.703703703703704,0.851851851851852,3,"s 408","fenpyroximate",NA,"X"
"11",2022-08-12,81,"s eco",3,NA,"fenpyroximate",0.1,NA,36,47,55,NA,33,116.5,116.5,NA,NA,21,233,3,24.8927038626609,NA,0.620689655172414,0.810344827586207,0.948275862068966,1,"s eco","fenpyroximate",NA,NA
"12",2022-08-12,81,"meth palm ol",3,NA,"fenpyroximate",0.1,NA,46,43,50,NA,98.4,98.4,123,NA,NA,22,246,12,25.2032520325203,NA,0.741935483870968,0.693548387096774,0.806451612903226,5,"meth palm ol","fenpyroximate",NA,NA
"13",2022-08-12,81,"tall amine ethox",3,NA,"fenpyroximate",0.1,NA,19,28,36,NA,3,18,200.8,NA,NA,21,251,4,15.9362549800797,NA,0.475,0.7,0.9,4,"tall amine ethox","fenpyroximate",NA,NA
"14",2022-08-12,81,"npe",3,NA,"fenpyroximate",0.1,NA,24,27,38,NA,7,13,50,NA,NA,20,220,3,18.6363636363636,NA,0.585365853658537,0.658536585365854,0.926829268292683,6,"npe","fenpyroximate",NA,NA
"15",2022-08-12,81,"fat acid ethox",3,NA,"fenpyroximate",0.1,NA,22,28,46,NA,9,16,91,NA,NA,16,182,4,27.4725274725275,NA,0.44,0.56,0.92,8,"fat acid ethox","fenpyroximate",NA,NA
"16",2022-08-12,81,"1decanol",3,NA,"fenpyroximate",0.1,NA,32,32,42,NA,12,15,137,NA,NA,25,274,8,18.2481751824818,NA,0.64,0.64,0.84,7,"1decanol","fenpyroximate",NA,NA
"17",2022-08-17,91,"untreated",0,NA,"fenpyroximate",0,0,1,1,2,0,0,1,1,2022-08-29,NA,29,328.86,12,4.2571306939123,0,0.0714285714285714,0.0714285714285714,0.142857142857143,9,"untreated","fenpyroximate",NA,NA
"18",2022-08-17,91,"1alone fenpyroximate",0,NA,"fenpyroximate",0.1,0,8,10,13,3,5,10,16,2022-08-29,NA,30,340.2,6,5.58495002939447,0,0.421052631578947,0.526315789473684,0.684210526315789,7,"1alone fenpyroximate","fenpyroximate",NA,NA
"19",2022-08-17,91,"s 309",0.3,NA,"fenpyroximate",0.1,1,3,7,7,0,1,1,1,2022-08-29,NA,24,272.16,5,4.40917107583774,0.0833333333333333,0.25,0.583333333333333,0.583333333333333,5,"s 309","fenpyroximate",NA,NA
"20",2022-08-17,91,"s eco",0.3,NA,"fenpyroximate",0.1,0,5,5,4,2,3,4,7,2022-08-29,NA,26,294.84,9,4.40917107583774,0,0.384615384615385,0.384615384615385,0.307692307692308,8,"s eco","fenpyroximate",NA,NA
"21",2022-08-17,91,"b pin",3,NA,"fenpyroximate",0.1,1,14,14,21,3,10,14,15,2022-08-29,NA,25,283.5,4,8.81834215167548,0.04,0.56,0.56,0.84,6,"b pin","fenpyroximate",NA,NA
